facet_id,lat,lon,richtung_deg,neigung_deg,kw,kwh_kwp,gradprz,modarea,str,openmeteo_azimuth
PPVD_2377332,51.198348,6.767833,177,36,11.311,921.54,100,77.352,10423.4,-3
PPVD_2447590,51.203339,6.735415,172,32,18.707,920.731,99,120.457,17223.7,-8
PPVD_2415787,51.231566,6.713392,171,37,24.362,920.731,99,131.286,22430.7,-9
PPVD_2371964,51.199324,6.780085,177,34,16.096,919.114,99,103.473,14794.3,-3
PPVD_2448702,51.212383,6.757199,178,36,10.006,919.114,99,72.794,9196.35,-2
PPVD_2579573,51.214123,6.793538,183,38,14.356,918.306,100,85.161,13183.4,3
PPVD_2372968,51.199336,6.780329,177,34,16.096,918.306,99,109.62,14781.3,-3
PPVD_2369543,51.207203,6.762407,190,35,13.051,918.306,99,86.826,11984.8,10
PPVD_2578759,51.21041,6.799067,184,36,33.933,918.306,100,229.461,31160.4,4
PPVD_2415696,51.231619,6.713974,174,39,15.661,918.306,99,104.723,14381.8,-6
PPVD_2450016,51.231706,6.750765,181,41,24.362,918.306,99,141.647,22371.6,1
PPVD_2352481,51.210815,6.773109,185,35,10.876,918.306,99,64.17,9987.4,5
PPVD_2371279,51.210827,6.77489,177,41,21.752,918.306,99,123.924,19974.6,-3
PPVD_2376046,51.262957,6.777882,180,34,43.068,917.498,99,246.987,39515.1,0
PPVD_2447217,51.200442,6.737805,187,41,22.187,917.498,99,143.778,20356.3,7
PPVD_2374268,51.200006,6.781177,177,33,21.752,917.498,99,150.805,19957.0,-3
PPVD_2407544,51.321663,6.745826,188,37,12.181,917.498,99,78.997,11176.0,8
PPVD_2586148,51.210719,6.799571,184,35,19.142,917.498,100,125.735,17562.3,4
PPVD_2444840,51.231772,6.759068,182,36,15.661,917.498,99,101.592,14369.1,2
PPVD_2449006,51.273435,6.738618,185,34,19.577,917.498,99,130.567,17961.4,5
PPVD_2448244,51.211474,6.747093,176,41,17.401,917.498,99,119.52,15965.6,-4
PPVD_2426476,51.204154,6.736859,180,33,19.577,917.498,99,114.714,17961.4,0
PPVD_2534402,51.211283,6.789032,177,34,16.966,917.498,100,95.665,15566.5,-3
PPVD_2416648,51.230797,6.703075,173,29,21.317,917.498,99,136.684,19557.9,-7
PPVD_2415745,51.231538,6.713158,171,37,19.577,917.498,99,126.188,17961.4,-9
PPVD_2445396,51.231708,6.750301,180,41,13.921,916.689,99,98.586,12761.2,0
PPVD_2447487,51.211164,6.74669,175,44,13.486,916.689,99,95.916,12362.4,-5
PPVD_2579989,51.223661,6.799137,184,35,10.876,916.689,100,74.695,9969.82,4
PPVD_2377357,51.21054,6.775851,177,31,23.492,916.689,99,147.66,21534.7,-3
PPVD_2449724,51.27342,6.738906,186,34,19.577,916.689,99,128.944,17945.6,6
PPVD_2375330,51.210793,6.774181,177,41,19.142,916.689,99,122.619,17546.8,-3
PPVD_2447210,51.231777,6.758847,182,36,13.051,916.689,99,79.089,11963.7,2
PPVD_2373994,51.199682,6.780512,184,39,12.181,916.689,99,79.903,11166.1,4
PPVD_2584609,51.211735,6.789698,177,34,15.226,916.689,100,91.243,13957.7,-3
PPVD_2415953,51.232104,6.704221,173,30,53.074,916.689,99,339.268,48652.4,-7
PPVD_2345758,51.199684,6.780917,181,38,12.616,916.689,99,79.819,11564.9,1
PPVD_2281396,51.210714,6.800247,183,36,12.616,916.689,100,103.01,11564.9,3
PPVD_2443450,51.239614,6.745062,181,36,12.181,916.689,99,82.9,11166.1,1
PPVD_2446043,51.273449,6.738329,185,34,20.447,916.689,99,132.326,18743.1,5
PPVD_2571403,51.215652,6.784908,183,39,10.876,915.881,99,66.802,9961.03,3
PPVD_2372657,51.210899,6.771079,184,37,10.441,915.881,99,84.935,9562.61,4
PPVD_2324960,51.187138,6.819589,180,39,13.051,915.881,100,94.072,11953.1,0
PPVD_2375881,51.208286,6.761995,180,35,15.226,915.881,99,126.314,13945.4,0
PPVD_2415393,51.231641,6.714181,175,39,11.311,915.881,99,74.145,10359.4,-5
PPVD_2374094,51.21412,6.77177,181,35,13.051,915.881,99,83.929,11953.1,1
PPVD_2446236,51.207419,6.73441,180,44,15.661,915.881,99,104.62,14343.8,0
PPVD_2521968,51.209152,6.839522,174,39,21.752,915.881,100,140.596,19921.9,-6
PPVD_2406631,51.296558,6.739285,182,34,29.147,915.881,99,211.923,26695.3,2
PPVD_2446205,51.231321,6.743211,176,35,10.441,915.881,99,77.544,9562.61,-4
PPVD_2322190,51.265125,6.806974,179,34,13.051,915.881,100,89.411,11953.1,-1
PPVD_2370050,51.198638,6.782982,183,34,12.616,915.881,99,79.104,11554.7,3
PPVD_2444493,51.207424,6.735031,175,43,10.006,915.881,99,67.527,9163.99,-5
PPVD_2578998,51.281059,6.793478,178,37,13.051,915.881,100,77.982,11953.1,-2
PPVD_2446941,51.231702,6.751208,181,43,11.311,915.881,99,78.044,10359.4,1
PPVD_2370423,51.230411,6.781965,174,37,77.436,915.881,99,484.827,70922.0,-6
PPVD_2345867,51.215376,6.783431,181,35,10.441,915.881,99,67.694,9562.61,1
PPVD_2377689,51.256766,6.761203,170,34,21.752,915.073,99,132.735,19904.3,-10
PPVD_2446234,51.231705,6.750533,181,41,24.362,915.073,99,169.237,22292.9,1
PPVD_2369930,51.190629,6.764795,183,31,15.226,915.073,99,95.116,13933.1,3
PPVD_2585765,51.21127,6.788589,181,34,13.921,915.073,99,84.922,12738.7,1
PPVD_2446529,51.242049,6.745698,183,41,13.486,915.073,99,100.559,12340.6,3
PPVD_2445986,51.204315,6.739602,174,39,17.401,915.073,99,131.184,15923.4,-6
PPVD_2532462,51.337446,6.786131,182,38,23.057,915.073,100,165.598,21098.7,2
PPVD_2584648,51.211718,6.789237,179,34,12.616,915.073,99,88.455,11544.5,-1
PPVD_2586307,51.210355,6.801103,182,33,14.356,915.073,99,94.943,13137.0,2
PPVD_2374312,51.211049,6.767431,185,35,11.311,915.073,99,77.924,10350.3,5
PPVD_2376034,51.223297,6.777648,182,32,10.441,915.073,99,84.121,9554.17,2
PPVD_2415950,51.230858,6.703317,173,29,21.317,915.073,99,138.0,19506.2,-7
PPVD_2370520,51.217331,6.783382,187,33,72.651,915.073,99,445.456,66480.5,7
PPVD_2584861,51.214196,6.791529,183,39,23.927,915.073,99,152.793,21894.8,3
PPVD_2584868,51.212651,6.80735,171,39,14.356,915.073,99,84.333,13137.0,-9
PPVD_2448192,51.273409,6.739206,185,34,16.531,915.073,99,104.511,15127.3,5
PPVD_2446527,51.231743,6.757295,180,40,12.181,915.072,99,106.539,11146.4,0
PPVD_2375883,51.21103,6.767721,185,36,11.311,914.264,99,70.668,10341.2,5
PPVD_2372414,51.199693,6.780319,187,39,13.921,914.264,99,92.443,12727.4,7
PPVD_2376712,51.210895,6.771262,185,36,10.876,914.264,99,82.946,9943.44,5
PPVD_2579617,51.214185,6.792149,183,39,15.226,914.264,99,90.796,13920.8,3
PPVD_2583694,51.217909,6.788331,186,34,10.441,914.264,99,76.73,9545.73,6
PPVD_2517153,51.209135,6.839265,174,40,15.661,914.264,100,111.105,14318.5,-6
PPVD_2372961,51.237974,6.782311,185,33,20.012,914.264,99,125.436,18295.8,5
PPVD_2580633,51.212596,6.799294,184,34,11.311,914.264,99,75.79,10341.2,4
PPVD_2532333,51.337726,6.78482,182,39,53.944,914.264,100,335.046,49319.1,2
PPVD_2327491,51.189166,6.833395,179,35,10.441,914.264,99,86.988,9545.73,-1
PPVD_2323438,51.226854,6.808556,179,37,13.051,914.264,99,106.869,11932.0,-1
PPVD_2520737,51.209114,6.839015,174,40,21.317,914.264,100,145.348,19489.0,-6
PPVD_2536654,51.235978,6.78918,176,41,15.661,914.264,99,97.754,14318.5,-4
PPVD_2371307,51.199678,6.780698,183,39,12.181,914.264,99,76.266,11136.6,3
PPVD_2346430,51.21053,6.775641,177,30,10.441,914.264,99,72.795,9545.73,-3
PPVD_2581684,51.210431,6.798502,186,37,14.356,914.264,99,109.738,13125.4,6
PPVD_2371586,51.21094,6.770132,184,44,15.226,914.264,99,102.26,13920.8,4
PPVD_2584674,51.235197,6.791661,180,41,30.452,914.264,99,202.56,27841.6,0
PPVD_2448200,51.211453,6.746835,175,33,10.441,914.264,99,77.03,9545.73,-5
PPVD_2371601,51.210837,6.772764,185,37,13.921,914.264,99,94.824,12727.4,5
PPVD_2371225,51.256717,6.760877,165,34,22.622,914.264,99,131.271,20682.3,-15
PPVD_2554190,51.21183,6.786147,182,39,29.147,914.264,99,191.608,26648.2,2
PPVD_2327281,51.219386,6.822702,180,40,30.017,913.456,99,248.852,27419.4,0
PPVD_2328113,51.187691,6.820113,180,34,13.051,913.456,99,86.393,11921.5,0
PPVD_2447670,51.231701,6.750992,181,44,16.531,913.456,99,116.906,15100.6,1
PPVD_2577570,51.245627,6.804477,181,38,10.006,913.456,99,65.857,9139.73,1
PPVD_2584130,51.218017,6.785976,185,29,14.356,913.456,99,101.243,13113.8,5
